venue,ground,city,country
R Premadasa Stadium,R Premadasa Stadium,Colombo,Sri Lanka
Willowmoore Park B Field,Willowmoore Park B Field,Benoni,South Africa
Willowmoore Park C Field,Willowmoore Park C Field,Benoni,South Africa
M.Chinnaswamy Stadium,M.Chinnaswamy Stadium,Bengaluru,India
"County Ground, Taunton",County Ground,Taunton,England
"County Ground, Bristol",County Ground,Bristol,England
Senwes Park,Senwes Park,Potchefstroom,South Africa
"Stanley Park, Blackpool",Stanley Park,Blackpool,England
C B Patel Ground,C B Patel Ground,Surat,India
Cello Basin Reserve,Basin Reserve,Wellington,New Zealand
"Darren Sammy National Cricket Stadium, St Lucia",Darren Sammy National Cricket Stadium,Gros Islet,Saint Lucia
"Warner Park, St Kitts",Warner Park,Basseterre,Saint Kitts and Nevis
Wanderers Cricket Ground,Wanderers Cricket Ground,Windhoek,Namibia
La Manga Club Top Ground,La Manga Club Top Ground,La Manga,Spain
Reliance Stadium,Reliance Stadium,Vadodara,India
Nelson Park,Nelson Park,Napier,New Zealand
Oakham School Ground,Oakham School Ground,Oakham,England
Headingley,Headingley,Leeds,England
"The Saffrons, Eastbourne",The Saffrons,Eastbourne,England
Sportpark Het Schootsveld,Sportpark Het Schootsveld,Deventer,Netherlands
"Woodvale Road, Eglinton",Woodvale Road,Eglinton,Northern Ireland
Arundel Castle Cricket Club Ground,Arundel Castle Cricket Club Ground,Arundel,England
Sir Vivian Richards Stadium,Sir Vivian Richards Stadium,"North Sound, Antigua",Antigua and Barbuda
Grace Road,Grace Road,Leicester,England
"Davies Park, Queenstown",Davies Park,Queenstown,New Zealand
"Westpac Park, Hamilton",Seddon Park,Hamilton,New Zealand
"Bankstown Oval, Sydney",Bankstown Oval,Sydney,Australia
"Arnos Vale Ground, Kingstown, St Vincent",Arnos Vale Ground,Kingstown,Saint Vincent and the Grenadines
"The Royal & Sun Alliance County Ground, Bristol",County Ground,Bristol,England
Multan Cricket Stadium,Multan Cricket Stadium,Multan,Pakistan
Daren Sammy National Cricket Stadium,Darren Sammy National Cricket Stadium,Gros Islet,Saint Lucia
National Cricket Stadium,National Cricket Stadium,St George's,Grenada
VRA Cricket Ground,VRA Ground,Amstelveen,Netherlands
MA Aziz Stadium,MA Aziz Stadium,Chittagong,Bangladesh
Nehru Stadium,Nehru Stadium,Guwahati,India
Kibworth Cricket Club Ground,Kibworth Cricket Club Ground,Kibworth,England
"Haslegrave Ground, Loughborough",Haslegrave Ground,Loughborough,England
"National Sports Academy, Sofia",National Sports Academy,Sofia,Bulgaria
Kerava National Cricket Ground,Kerava National Cricket Ground,Kerava,Finland
"Warner Park, Basseterre, St Kitts",Warner Park,Basseterre,Saint Kitts and Nevis
Guttsta Wicked Cricket Club,Guttsta Wicked Cricket Club,Guttsta,Sweden
Queenstown Events Centre,Queenstown Events Centre,Queenstown,New Zealand
"Niaz Stadium, Hyderabad",Niaz Stadium,Hyderabad,India
"Punjab Cricket Association Stadium, Mohali",Punjab Cricket Association IS Bindra Stadium,Mohali,India
"National Cricket Stadium, St George's",National Cricket Stadium,St George's,Grenada
P Saravanamuttu Stadium,P Sara Oval,Colombo,Sri Lanka
"Antigua Recreation Ground, St John's",Antigua Recreation Ground,St John's,Antigua and Barbuda
Dubai Sports City Cricket Stadium,Dubai Sports City Cricket Stadium,Dubai,UAE
"Mainpower Oval, Rangiora",Mainpower Oval,Rangiora,New Zealand
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amerat Cricket Ground Oman Cricket,Al Amerat,Oman
Queen's Park,Queen's Park,Chesterfield,England
"Penrhyn Avenue, Rhos-on-Sea, Colwyn Bay",Penrhyn Avenue,Colwyn Bay,Wales
Sportpark Thurlede,Sportpark Thurlede,Schiedam,Netherlands
Happy Valley Ground,Happy Valley Ground,Hong Kong,Hong Kong
University of Lagos Cricket Oval,University of Lagos Cricket Oval,Lagos,Nigeria
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium B,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India
Gurugram Cricket Ground (SRNCC),Gurugram Cricket Ground,Gurugram,India
Chaudhry Bansi Lal Cricket Stadium,Chaudhry Bansi Lal Cricket Stadium,Rohtak,India
"GMHBA Stadium, South Geelong, Victoria",GMHBA Stadium,South Geelong,Australia
"Kinrara Academy Oval, Kuala Lumpur",Kinrara Academy Oval,Kuala Lumpur,Malaysia
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Himachal Pradesh Cricket Association Stadium,Dharamsala,India
"M Chinnaswamy Stadium, Bengaluru",M.Chinnaswamy Stadium,Bengaluru,India
"United Cricket Club Ground, Windhoek",United Cricket Club Ground,Windhoek,Namibia
"Bert Sutcliffe Oval, Lincoln",Bert Sutcliffe Oval,Lincoln,England
New Strabane Park,New Strabane Park,Strabane,Northern Ireland
"The Lawn, Waringstown",The Lawn,Waringstown,Northern Ireland
"Lugogo Cricket Oval, Kampala",Lugogo Cricket Oval,Kampala,Uganda
"Windsor Park, Roseau, Dominica",Windsor Park,Roseau,Dominica
Bulawayo Athletic Club,Bulawayo Athletic Club,Bulawayo,Zimbabwe
Merrion Cricket Club Ground,Merrion Cricket Club Ground,Dublin,Ireland
Sheikh Zayed Stadium Nursery 2,Sheikh Zayed Stadium Nursery 2,Abu Dhabi,UAE
"Sinovich Park, Sinoville",Sinovich Park,Sinoville,South Africa
Harlequins,Harlequins,Harare,Zimbabwe
Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,Visakhapatnam,India
"GSSS, Sector 26","GSSS, Sector 26",Chandigarh,India
"Ground 1, Independence Park","Ground 1, Independence Park",Port Vila,Vanuatu
City Oval,City Oval,Pietermaritzburg,South Africa
"New Close County Cricket Ground, Newport, Isle-of-Wight",New Close County Cricket Ground,Newport,Wales
Sydney Parade,Sydney Parade,Dublin,Ireland
"Enborne Lodge, Newbury",Enborne Lodge,Newbury,England
Shaheed Veer Narayan Singh International Stadium,Shaheed Veer Narayan Singh International Stadium,Raipur,India
"University of Tasmania Stadium, Launceston",University of Tasmania Stadium,Launceston,Australia
"Lavington Sports Oval, Albury",Lavington Sports Oval,Albury,Australia
"Shaheed Veer Narayan Singh International Stadium, Raipur",Shaheed Veer Narayan Singh International Stadium,Raipur,India
Farmers Cricket Club Ground,Farmers Cricket Club Ground,St Martin,Jersey
Garon Park,Garon Park,Southend-on-Sea,England
"Sky Stadium, Wellington",Sky Stadium,Wellington,New Zealand
Ashlyns Road,Ashlyns Road,Berkhamsted,England
"Riverway Stadium, Townsville",Riverway Stadium,Townsville,Australia
Kaizuka Cricket Ground,Kaizuka Cricket Ground,Kaizuka,Japan
North Dalton Park,North Dalton Park,Wollongong,Australia
"Royal Brunswick Ground, Hove, Brighton",Royal Brunswick Ground,Hove,England
"Lindum Sports Club Ground, Lincoln",Lindum Sports Club Ground,Lincoln,England
"Ekeberg Cricket Ground 1, Oslo",Ekeberg Cricket Ground,Oslo,Norway
Singapore National Cricket Ground,Singapore National Cricket Ground,Singapore,Singapore
Jinja Cricket Ground,Jinja Cricket Ground,Jinja,Uganda
Las Caballerizas,Las Caballerizas,Buenos Aires,Argentina
Seddon Park,Seddon Park,Hamilton,New Zealand
"New Wanderers Stadium, Johannesburg",New Wanderers Stadium,Johannesburg,South Africa
Sheikh Zayed Stadium,Sheikh Zayed Stadium,Abu Dhabi,UAE
Dubai International Cricket Stadium,Dubai International Cricket Stadium,Dubai,UAE
Barabati Stadium,Barabati Stadium,Cuttack,India
Eden Park,Eden Park,Auckland,New Zealand
Sharjah Cricket Stadium,Sharjah Cricket Stadium,Sharjah,UAE
Westpac Stadium,Sky Stadium,Wellington,New Zealand
Colin Maiden Park,Colin Maiden Park,Auckland,New Zealand
Tribhuvan University International Cricket Ground,Tribhuvan University International Cricket Ground,Kirtipur,Nepal
"Headingley, Leeds",Headingley,Leeds,England
Holkar Cricket Stadium,Holkar Cricket Stadium,Indore,India
"Old Trafford, Manchester",Old Trafford,Manchester,England
"Lord's, London",Lord's,London,England
Royal Chiangmai Golf Club,Royal Chiangmai Golf Club,Chiang Mai,Thailand
Carrara Oval,Carrara Oval,Gold Coast,Australia
Eden Park Outer Oval,Eden Park Outer Oval,Auckland,New Zealand
The Wanderers Stadium,The Wanderers Stadium,Johannesburg,South Africa
Traeger Park,Traeger Park,Alice Springs,Australia
Terdthai Cricket Ground,Terdthai Cricket Ground,Bangkok,Thailand
 Emerald Heights International School Ground,Emerald Heights International School Ground,Indore,India
"Airforce Complex ground, Palam II",Airforce Complex ground,Palam,India
"Junction Oval, Melbourne",Junction Oval,Melbourne,Australia
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Mahinda Rajapaksa International Cricket Stadium,Sooriyawewa,Sri Lanka
Amini Park,Amini Park,Port Moresby,Papua New Guinea
"Guyana National Stadium, Providence",Guyana National Stadium,Providence,Guyana
Affies Park,Affies Park,Windhoek,Namibia
"Kent County Cricket Ground, Beckenham",Kent County Cricket Ground,Beckenham,England
Kwekwe Sports Club,Kwekwe Sports Club,Kwekwe,Zimbabwe
Tafawa Balewa Square Cricket Oval,Tafawa Balewa Square Cricket Oval,Lagos,Nigeria
UKM-YSD Cricket Oval,UKM-YSD Cricket Oval,Bangi,Malaysia
Trent Bridge,Trent Bridge,Nottingham,England
"Woodbridge Road, Guildford",Woodbridge Road,Guildford,England
Old Trafford,Old Trafford,Manchester,England
Edgbaston,Edgbaston,Birmingham,England
"Westpac Stadium, Wellington",Sky Stadium,Wellington,New Zealand
Sharjah Cricket Association Stadium,Sharjah Cricket Association Stadium,Sharjah,UAE
"Antigua Recreation Ground, St John's, Antigua",Antigua Recreation Ground,St John's,Antigua and Barbuda
"Queen's Park (New), St George's, Grenada",Queen's Park,St George's,Grenada
"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",Lal Bahadur Shastri Stadium,Hyderabad,India
"Sinhalese Sports Club Ground, Colombo",Sinhalese Sports Club Ground,Colombo,Sri Lanka
AMI Stadium,AMI Stadium,Christchurch,New Zealand
Kensington Oval,Kensington Oval,Bridgetown,Barbados
"Boughton Hall Cricket Club Ground, Chester",Boughton Hall Cricket Club Ground,Chester,England
"Bready Cricket Club, Magheramason, Bready",Bready Cricket Club,Magheramason,Northern Ireland
"Coolidge Cricket Ground, Antigua",Coolidge Cricket Ground,Antigua,Antigua and Barbuda
York Cricket Club,York Cricket Club,York,England
Maharani Usharaje Trust Cricket Ground,Maharani Usharaje Trust Cricket Ground,Indore,India
IC-Gurunanak College Ground,IC-Gurunanak College Ground,Chennai,India
"Cobham Oval (New), Whangarei",Cobham Oval,Whangarei,New Zealand
"University Oval, Dunedin",University Oval,Dunedin,New Zealand
"North Dalton Park, Wollongong",North Dalton Park,Wollongong,Australia
Pallekele International Cricket Stadium,Pallekele International Cricket Stadium,Pallekele,Sri Lanka
Sea Breeze Oval,Sea Breeze Oval,Darwin,Australia
Centro Sportivo Dozza,Centro Sportivo Dozza,Bologna,Italy
"Toronto Cricket, Skating and Curling Club","Toronto Cricket, Skating and Curling Club",Toronto,Canada
"Seebarn Cricket Centre, Lower Austria",Seebarn Cricket Centre,Lower Austria,Austria
"Brian Lara Stadium, Tarouba",Brian Lara Stadium,Tarouba,Trinidad and Tobago
College Field,College Field,St Peter Port,Guernsey
Friendship Oval,Friendship Oval,Harare,Zimbabwe
Kallang Ground,Kallang Ground,Singapore,Singapore
"Campbell Park, Milton Keynes",Campbell Park,Milton Keynes,England
North Marine Road Ground,North Marine Road Ground,Scarborough,England
"Ray Mitchell Oval, Harrup Park, Mackay",Ray Mitchell Oval,Mackay,Australia
"Reforma Athletic Club, Naucalpan",Reforma Athletic Club,Naucalpan,Mexico
"Invermay Park, Launceston",Invermay Park,Launceston,Australia
Alembic 2  Cricket Ground,Alembic 2 Cricket Ground,Vadodara,India
"JSCA International Stadium Complex, Ranchi",JSCA International Stadium Complex,Ranchi,India
"Old Hararians, Harare",Old Hararians,Harare,Zimbabwe
Sportpark Duivesteijn,Sportpark Duivesteijn,Leidschendam,Netherlands
"Grange Cricket Club Ground, Raeburn Place",Grange Cricket Club Ground,Edinburgh,Scotland
"Instonians Cricket Club, Shaw's Bridge Lower Ground, Belfast","Instonians Cricket Club, Shaw's Bridge Lower Ground",Belfast,Northern Ireland
"College Field, St Peter Port",College Field,St Peter Port,Guernsey
"Saurashtra Cricket Association Stadium, Rajkot",Saurashtra Cricket Association Stadium,Rajkot,India
"Indian Association Ground, Singapore",Indian Association Ground,Singapore,Singapore
"Sportpark Harga, Schiedam",Sportpark Harga,Schiedam,Netherlands
ICC Academy Ground No 2,ICC Academy Ground No 2,Dubai,UAE
West End Park International Cricket Stadium,West End Park International Cricket Stadium,Doha,Qatar
Narayanganj Osmani Stadium,Narayanganj Osmani Stadium,Narayanganj,Bangladesh
Goodyear Park,Goodyear Park,Bloemfontein,South Africa
Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,Visakhapatnam,India
BKC Ground,BKC Ground,Mumbai,India
"Ground 2, Independence Park","Ground 2, Independence Park",Port Vila,Vanuatu
Radlett Cricket Club,Radlett Cricket Club,Radlett,England
"Sabina Park, Jamaica",Sabina Park,Kingston,Jamaica
Tafawa Balewa Square (TBS) Cricket Oval,Tafawa Balewa Square Cricket Oval,Lagos,Nigeria
"Barsapara Cricket Stadium, Guwahati",Barsapara Cricket Stadium,Guwahati,India
Europa Sports Complex,Europa Sports Complex,Gibraltar,Gibraltar
Myreside,Myreside,Edinburgh,Scotland
"Millfield School, Street",Millfield School,Street,England
"GB Oval, Szodliget",GB Oval,Szodliget,Hungary
"The Gnoll, Neath",The Gnoll,Neath,Wales
"The Hills, Milverton",The Hills,Milverton,England
Haslegrave Ground,Haslegrave Ground,Loughborough,England
"Latrobe Recreation Ground, Latrobe",Latrobe Recreation Ground,Latrobe,Australia
"Ted Summerton Reserve, Moe",Ted Summerton Reserve,Moe,Australia
"Greenfield International Stadium, Thiruvananthapuram",Greenfield International Stadium,Thiruvananthapuram,India
University of Doha for Science and Technology,University of Doha for Science and Technology,Doha,Qatar
"Tolerance Oval, Abu Dhabi",Tolerance Oval,Abu Dhabi,UAE
"Mannofield Park, Aberdeen",Mannofield Park,Aberdeen,Scotland
"Independence Park, Port Vila",Independence Park,Port Vila,Vanuatu
"Eastern Oval, Ballarat",Eastern Oval,Ballarat,Australia
"Simar Cricket Ground, Rome",Simar Cricket Ground,Rome,Italy
"King George V Sports Ground, Castel",King George V Sports Ground,Castel,Guernsey
"Mladost Cricket Ground, Zagreb",Mladost Cricket Ground,Zagreb,Croatia
"Ekeberg Cricket Ground 2, Oslo",Ekeberg Cricket Ground,Oslo,Norway
"Tafawa Balewa Square Cricket Oval, Lagos",Tafawa Balewa Square Cricket Oval,Lagos,Nigeria
"Abhimanyu Cricket Academy, Dehradun",Abhimanyu Cricket Academy,Dehradun,India
"Royal Selangor Club, Kuala Lumpur",Royal Selangor Club,Kuala Lumpur,Malaysia
Skarpnack 2,Skarpnack 2,Stockholm,Sweden
Sao Fernando Polo and Cricket Club,Sao Fernando Polo and Cricket Club,Sao Fernando,Brazil
Gelephu International Cricket Ground,Gelephu International Cricket Ground,Gelephu,Bhutan
"Newlands, Cape Town",Newlands,Cape Town,South Africa
Melbourne Cricket Ground,Melbourne Cricket Ground,Melbourne,Australia
"Brisbane Cricket Ground, Woolloongabba",Brisbane Cricket Ground,Brisbane,Australia
Green Park,Green Park,Kanpur,India
White Hills Oval,White Hills Oval,Bendigo,Australia
ICC Global Cricket Academy,ICC Global Cricket Academy,Dubai,UAE
Gaddafi Stadium,Gaddafi Stadium,Lahore,Pakistan
"Kensington Oval, Bridgetown",Kensington Oval,Bridgetown,Barbados
Himachal Pradesh Cricket Association Stadium,Himachal Pradesh Cricket Association Stadium,Dharamsala,India
"County Ground, New Road, Worcester",County Ground,Worcester,England
County Ground,County Ground,Taunton,England
"Roseworth Terrace, Gosforth",Roseworth Terrace,Newcastle upon Tyne,England
Malahide,Malahide,Malahide,Ireland
Perth Stadium,Perth Stadium,Perth,Australia
Pukekura Park,Pukekura Park,New Plymouth,New Zealand
Harrup Park,Harrup Park,Mackay,Australia
Junction Oval,Junction Oval,Melbourne,Australia
Geelong Cricket Ground,Geelong Cricket Ground,Geelong,Australia
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amerat Cricket Ground Oman Cricket,Al Amerat,Oman
"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -DVR Ground,Mulapadu",Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex,Mulapadu,India
"Boland Park, Paarl",Boland Park,Paarl,South Africa
Old Hararians,Old Hararians,Harare,Zimbabwe
Sulabiya Ground,Sulabiya Ground,Sulabiya,Kuwait
UKM Cricket Oval,UKM Cricket Oval,Bangi,Malaysia
Kinrara Oval,Kinrara Oval,Kuala Lumpur,Malaysia
Mangaung Oval,Mangaung Oval,Bloemfontein,South Africa
"Civil Service Cricket Club, Stormont, Belfast",Civil Service Cricket Club,Belfast,Northern Ireland
Hazelaarweg,Hazelaarweg,Rotterdam,Netherlands
Sophia Gardens,Sophia Gardens,Cardiff,Wales
"Pembroke Cricket Club, Sandymount, Dublin",Pembroke Cricket Club,Dublin,Ireland
"Trafalgar Road Ground, Southport",Trafalgar Road Ground,Southport,England
"Marrara Cricket Ground, Darwin",Marrara Cricket Ground,Darwin,Australia
"Gaddafi Stadium, Lahore",Gaddafi Stadium,Lahore,Pakistan
"Iqbal Stadium, Faisalabad",Iqbal Stadium,Faisalabad,Pakistan
Queen's Park Oval,Queen's Park Oval,Port of Spain,Trinidad and Tobago
Arnos Vale Ground,Arnos Vale Ground,Kingstown,Saint Vincent and the Grenadines
Sinhalese Sports Club,Sinhalese Sports Club,Colombo,Sri Lanka
Bangabandhu National Stadium,Bangabandhu National Stadium,Dhaka,Bangladesh
Iqbal Stadium,Iqbal Stadium,Faisalabad,Pakistan
Sardar Patel Stadium,Sardar Patel Stadium,Ahmedabad,India
"The Green, Comber",The Green,Comber,Northern Ireland
"Scott Page Field, Vinor",Scott Page Field,Vinor,Czech Republic
"FP Fenner's Ground, Cambridge",FP Fenner's Ground,Cambridge,England
"Mardyke, Cork",Mardyke,Cork,Ireland
"R Premadasa Stadium, Colombo",R Premadasa Stadium,Colombo,Sri Lanka
"Edgbaston Foundation Community Sports Ground, Birmingham",Edgbaston Foundation Community Sports Ground,Birmingham,England
Cambusdoon New Ground,Cambusdoon New Ground,Ayr,Scotland
Gymkhana Club Ground,Gymkhana Club Ground,Nairobi,Kenya
De Beers Diamond Oval,De Beers Diamond Oval,Kimberley,South Africa
F B Colony Ground,F B Colony Ground,Karachi,Pakistan
Sky Stadium,Sky Stadium,Wellington,New Zealand
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India
Zohur Ahmed Chowdhury Stadium,Zohur Ahmed Chowdhury Stadium,Chittagong,Bangladesh
"Brabourne Stadium, Mumbai",Brabourne Stadium,Mumbai,India
Central Broward Regional Park Stadium Turf Ground,Central Broward Regional Park Stadium Turf Ground,Lauderhill,USA
Desert Springs Cricket Ground,Desert Springs Cricket Ground,Almeria,Spain
"Brian Lara Stadium, Tarouba, Trinidad",Brian Lara Stadium,Tarouba,Trinidad and Tobago
"Queen's Park Oval, Port of Spain, Trinidad",Queen's Park Oval,Port of Spain,Trinidad and Tobago
Moara Vlasiei Cricket Ground,Moara Vlasiei Cricket Ground,Ilfov County,Romania
"Gliderol Stadium, Adelaide",Gliderol Stadium,Adelaide,Australia
"Molyneux Park, Alexandra",Molyneux Park,Alexandra,New Zealand
"Clifton Park Ground, York",Clifton Park Ground,York,England
Botswana Cricket Association Oval 1,Botswana Cricket Association Oval 1,Gaborone,Botswana
Albert Park 1,Albert Park,Suva,Fiji
Eastern Oval,Eastern Oval,Ballarat,Australia
The Padang,The Padang,Singapore,Singapore
"Botswana Cricket Association Oval 2, Gaborone",Botswana Cricket Association Oval 2,Gaborone,Botswana
"Rookwood, Sale",Rookwood,Sale,Australia
Entebbe Cricket Oval,Entebbe Cricket Oval,Entebbe,Uganda
